date,ticker,close,volume,daily_return,abs_return
2024-01-02,SPY,471.82432128721496,89167663.66363831,-0.017032663984968822,0.017032663984968822
2024-01-03,SPY,465.6828540127041,88357729.99436504,-0.013016427931811325,0.013016427931811325
2024-01-04,SPY,459.50740244500474,93673133.837219,-0.01326106708564987,0.01326106708564987
2024-01-05,SPY,458.05252328937144,86392710.65902236,-0.003166171312784098,0.003166171312784098
2024-01-08,SPY,447.62000339359673,81897913.49701576,-0.022775815796967035,0.022775815796967035
2024-01-09,SPY,446.93112875926016,79734820.73251978,-0.001538971960846078,0.001538971960846078
2024-01-10,SPY,442.8093992603814,83323672.26651622,-0.00922229228096346,0.00922229228096346
2024-01-11,SPY,446.92132816080056,85593899.79589178,0.009286001849299789,0.009286001849299789
2024-01-12,SPY,451.35410500831586,79696114.07531208,0.00991847237579234,0.00991847237579234
2024-01-15,SPY,457.7960936146042,98853179.42394021,0.014272582291390865,0.014272582291390865
2024-01-16,SPY,461.4697704447765,98812523.13615003,0.008024701130947078,0.008024701130947078
2024-01-17,SPY,461.3865684661336,96148310.2121256,-0.00018029778757267732,0.00018029778757267732
2024-01-18,SPY,465.51502774656325,106853327.73753712,0.008947939889439096,0.008947939889439096
2024-01-19,SPY,472.686199029134,106019896.87884684,0.015404811563838433,0.015404811563838433
2024-01-22,SPY,469.76218804172294,78982408.8890668,-0.0061859453341704855,0.0061859453341704855
2024-01-23,SPY,472.7938037049272,77671263.03313486,0.00645351145830187,0.00645351145830187
2024-01-24,SPY,472.7575223230033,76313281.00533696,-7.673827710852376e-05,7.673827710852376e-05
2024-01-25,SPY,479.7307748479263,94377310.58861347,0.014750167254152393,0.014750167254152393
2024-01-26,SPY,475.88383765454876,83184476.64152656,-0.008018950200968435,0.008018950200968435
2024-01-29,SPY,474.6153854198103,91784569.61031134,-0.002665466095655266,0.002665466095655266
2024-01-30,SPY,476.5012155152031,100234008.74903668,0.003973385931694391,0.003973385931694391
2024-01-31,SPY,477.89788950035796,77533131.77571139,0.0029311026702099757,0.0029311026702099757
2024-02-01,SPY,470.23026654968913,100086190.13904998,-0.01604447962447648,0.01604447962447648
2024-02-02,SPY,472.08840605152403,78426233.0119536,0.00395155232237386,0.00395155232237386
2024-02-05,SPY,471.6942230927847,69122117.463529,-0.0008349769951697288,0.0008349769951697288
2024-02-06,SPY,470.7284393161942,69685762.10621923,-0.0020474784920156202,0.0020474784920156202
2024-02-07,SPY,470.1621451801793,77642653.40704459,-0.0012030166200229313,0.0012030166200229313
2024-02-08,SPY,471.35622399692573,64829215.63750517,0.0025397170507821917,0.0025397170507821917
2024-02-09,SPY,462.95950467264805,95531704.61027595,-0.017813956614546406,0.017813956614546406
2024-02-12,SPY,470.30883203269025,106556915.96440597,0.015874665679968664,0.015874665679968664
2024-02-13,SPY,466.42200385161533,73586279.9900371,-0.008264416732885683,0.008264416732885683
2024-02-14,SPY,456.13101867512023,88723900.15412161,-0.022063678581872873,0.022063678581872873
2024-02-15,SPY,455.9167534378739,96595914.95647071,-0.00046974493834841044,0.00046974493834841044
2024-02-16,SPY,462.7212217031472,92117353.1655402,0.014924804175244145,0.014924804175244145
2024-02-19,SPY,460.48349738149005,84673131.16463263,-0.004836009711032398,0.004836009711032398
2024-02-20,SPY,467.78803483874646,86136946.76821858,0.015862756209056684,0.015862756209056684
2024-02-21,SPY,475.2349490411306,100475961.417229,0.01591942001028577,0.01591942001028577
2024-02-22,SPY,471.3012776866492,88046096.59324254,-0.008277319171113764,0.008277319171113764
