date,ticker,price,volume
2024-01-01,SPY,468.3961371494931,88363975
2024-01-02,SPY,465.7474191582368,72223844
2024-01-03,SPY,465.25069591404633,86140472
2024-01-04,SPY,466.0915863901774,60858064
2024-01-05,SPY,468.36367945515667,64460729
2024-01-06,SPY,468.58309225380026,85186046
2024-01-07,SPY,467.4777976127278,57476103
2024-01-08,SPY,465.9082369020392,52568577
2024-01-09,SPY,467.40572844350845,64956264
2024-01-10,SPY,470.67529452942557,77167261
2024-01-11,SPY,471.220832081115,54889874
2024-01-12,SPY,468.75417475305346,84803540
2024-01-13,SPY,466.8376443421813,63642148
2024-01-14,SPY,470.03768252017954,71777976
2024-01-15,SPY,470.44344740119675,85817929
2024-01-16,SPY,466.97917771631757,85357311
2024-01-17,SPY,466.8117853306835,84887818
2024-01-18,SPY,464.485333383794,62258752
2024-01-19,SPY,463.2267571956709,50740688
2024-01-20,SPY,462.2507455491172,81125711
