date,ticker,close,volume
2016-01-04,DBC,11.210502624511719,2307600
2016-01-05,DBC,11.10059642791748,1210000
2016-01-06,DBC,10.923052787780762,2668600
2016-01-07,DBC,10.872326850891113,10692400
2016-01-08,DBC,10.821601867675781,2809600
2016-01-11,DBC,10.525697708129883,2629100
2016-01-12,DBC,10.458063125610352,2398200
2016-01-13,DBC,10.398882865905762,2554200
2016-01-14,DBC,10.42424488067627,1813100
2016-01-15,DBC,10.204432487487793,1963500
2016-01-19,DBC,10.119888305664062,3776800
2016-01-20,DBC,10.04379940032959,2239200
2016-01-21,DBC,10.179069519042969,2564100
2016-01-22,DBC,10.483426094055176,1994500
2016-01-25,DBC,10.255159378051758,1983100
2016-01-26,DBC,10.458063125610352,2018600
2016-01-27,DBC,10.584878921508789,1485200
2016-01-28,DBC,10.703240394592285,1943200
2016-01-29,DBC,10.804692268371582,2920600
2016-02-01,DBC,10.601786613464355,1724600
2016-02-02,DBC,10.415790557861328,5602500
2016-02-03,DBC,10.677876472473145,3106600
2016-02-04,DBC,10.660967826843262,2606400
2016-02-05,DBC,10.593332290649414,1709200
2016-02-08,DBC,10.542607307434082,1685700
2016-02-09,DBC,10.272067070007324,2762900
2016-02-10,DBC,10.288975715637207,3157100
2016-02-11,DBC,10.415790557861328,1966700
2016-02-12,DBC,10.567970275878906,3251400
2016-02-16,DBC,10.449607849121094,3558900
2016-02-17,DBC,10.669422149658203,1704300
2016-02-18,DBC,10.610241889953613,2005500
2016-02-19,DBC,10.517243385314941,835500
2016-02-22,DBC,10.677876472473145,719000
2016-02-23,DBC,10.534152030944824,1496800
2016-02-24,DBC,10.669422149658203,2438900
2016-02-25,DBC,10.660967826843262,3589400
2016-02-26,DBC,10.644060134887695,1686500
2016-02-29,DBC,10.779328346252441,1814000
2016-03-01,DBC,10.7877836227417,2144600
2016-03-02,DBC,10.846963882446289,4519700
2016-03-03,DBC,10.906144142150879,1597000
2016-03-04,DBC,11.117505073547363,2063900
2016-03-07,DBC,11.320408821105957,2785500
2016-03-08,DBC,11.168231010437012,2116400
2016-03-09,DBC,11.33731746673584,2552700
2016-03-10,DBC,11.320408821105957,2836700
2016-03-11,DBC,11.36268138885498,1010900
2016-03-14,DBC,11.26122760772705,1062700
2016-03-15,DBC,11.168231010437012,1619200
2016-03-16,DBC,11.36268138885498,2431000
2016-03-17,DBC,11.489497184753418,1000400
2016-03-18,DBC,11.48104190826416,1791100
2016-03-21,DBC,11.514859199523926,9810500
2016-03-22,DBC,11.599404335021973,1498800
2016-03-23,DBC,11.354227066040039,3167100
2016-03-24,DBC,11.286592483520508,1838700
2016-03-28,DBC,11.320408821105957,1000300
2016-03-29,DBC,11.295045852661133,2303600
2016-03-30,DBC,11.252774238586426,1336100
2016-03-31,DBC,11.235865592956543,3581700
2016-04-01,DBC,11.041417121887207,1170800
2016-04-04,DBC,10.889235496520996,4662300
2016-04-05,DBC,10.863873481750488,1833000
2016-04-06,DBC,10.982234954833984,4849500
2016-04-07,DBC,10.948416709899902,1046200
2016-04-08,DBC,11.210502624511719,1298800
2016-04-11,DBC,11.295045852661133,1763800
2016-04-12,DBC,11.540224075317383,2560000
2016-04-13,DBC,11.599404335021973,1907900
2016-04-14,DBC,11.506404876708984,1084600
2016-04-15,DBC,11.464134216308594,879400
2016-04-18,DBC,11.514859199523926,1204700
2016-04-19,DBC,11.76003646850586,2227000
2016-04-20,DBC,11.98830509185791,2408200
2016-04-21,DBC,11.937579154968262,2702000
2016-04-22,DBC,11.886852264404297,2134900
2016-04-25,DBC,11.878397941589355,1574200
2016-04-26,DBC,12.030576705932617,1528300
2016-04-27,DBC,12.140483856201172,1682600
2016-04-28,DBC,12.208118438720703,1944200
2016-04-29,DBC,12.326480865478516,8719300
2016-05-02,DBC,12.157393455505371,6749000
2016-05-03,DBC,11.971396446228027,2723600
2016-05-04,DBC,11.979850769042969,2021000
2016-05-05,DBC,11.861489295959473,1184200
2016-05-06,DBC,11.937579154968262,6854200
2016-05-09,DBC,11.675494194030762,2163300
2016-05-10,DBC,11.96294116973877,1420900
2016-05-11,DBC,12.241935729980469,1851100
2016-05-12,DBC,12.258845329284668,1270700
2016-05-13,DBC,12.241935729980469,1550800
2016-05-16,DBC,12.377206802368164,3273500
2016-05-17,DBC,12.47020435333252,1425200
2016-05-18,DBC,12.377206802368164,1987300
2016-05-19,DBC,12.343389511108398,5004300
2016-05-20,DBC,12.394115447998047,3424800
2016-05-23,DBC,12.326480865478516,1290200
2016-05-24,DBC,12.326480865478516,964200
2016-05-25,DBC,12.47020435333252,1638500
2016-05-26,DBC,12.461750030517578,1422400
2016-05-27,DBC,12.512476921081543,1472500
2016-05-31,DBC,12.43638801574707,10015000
2016-06-01,DBC,12.563201904296875,3179200
2016-06-02,DBC,12.588565826416016,6854400
2016-06-03,DBC,12.673110008239746,2211300
2016-06-06,DBC,12.825288772583008,2936900
2016-06-07,DBC,12.952103614807129,1394200
2016-06-08,DBC,13.171917915344238,2748200
2016-06-09,DBC,13.14655590057373,3062200
2016-06-10,DBC,12.985921859741211,2965700
2016-06-13,DBC,12.985921859741211,1594600
2016-06-14,DBC,12.901378631591797,1276500
2016-06-15,DBC,12.833742141723633,1829800
2016-06-16,DBC,12.613929748535156,1836500
2016-06-17,DBC,12.909832954406738,2476300
2016-06-20,DBC,13.028192520141602,1654100
2016-06-21,DBC,12.926740646362305,1550500
2016-06-22,DBC,12.8506498336792,2251100
2016-06-23,DBC,12.952103614807129,1561500
2016-06-24,DBC,12.690017700195312,1583000
2016-06-27,DBC,12.664655685424805,2276900
2016-06-28,DBC,12.867559432983398,1645800
2016-06-29,DBC,13.053556442260742,1671000
2016-06-30,DBC,12.97746753692627,2216100
2016-07-01,DBC,13.138100624084473,3913400
2016-07-05,DBC,12.766107559204102,4526800
2016-07-06,DBC,12.81683349609375,2535300
2016-07-07,DBC,12.453295707702637,3347900
2016-07-08,DBC,12.58011245727539,1516800
2016-07-11,DBC,12.529383659362793,1756600
2016-07-12,DBC,12.766107559204102,1414900
2016-07-13,DBC,12.605474472045898,2742600
2016-07-14,DBC,12.656201362609863,1645000
2016-07-15,DBC,12.622384071350098,1406800
2016-07-18,DBC,12.563201904296875,1465100
2016-07-19,DBC,12.487113952636719,854300
2016-07-20,DBC,12.402569770812988,1813100
2016-07-21,DBC,12.334935188293457,1309000
2016-07-22,DBC,12.309572219848633,1728300
2016-07-25,DBC,12.174301147460938,1248400
2016-07-26,DBC,12.123575210571289,1451600
2016-07-27,DBC,12.005213737487793,2628900
2016-07-28,DBC,11.971396446228027,1235000
2016-07-29,DBC,12.07284927368164,3017000
2016-08-01,DBC,11.861489295959473,4540600
2016-08-02,DBC,11.844581604003906,3700300
2016-08-03,DBC,12.039031028747559,2559600
2016-08-04,DBC,12.08975887298584,1414600
2016-08-05,DBC,12.140483856201172,2201400
2016-08-08,DBC,12.208118438720703,2999900
2016-08-09,DBC,12.174301147460938,1660300
2016-08-10,DBC,12.030576705932617,2213200
2016-08-11,DBC,12.216573715209961,1959300
2016-08-12,DBC,12.309572219848633,1653700
2016-08-15,DBC,12.512476921081543,1281800
2016-08-16,DBC,12.613929748535156,3543400
2016-08-17,DBC,12.664655685424805,2806700
2016-08-18,DBC,12.825288772583008,1961600
2016-08-19,DBC,12.783015251159668,1215400
2016-08-22,DBC,12.664655685424805,931700
2016-08-23,DBC,12.715380668640137,934000
2016-08-24,DBC,12.563201904296875,1471700
2016-08-25,DBC,12.613929748535156,694600
2016-08-26,DBC,12.571657180786133,808500
2016-08-29,DBC,12.520931243896484,841700
2016-08-30,DBC,12.402569770812988,1382300
2016-08-31,DBC,12.165847778320312,13259500
2016-09-01,DBC,12.030576705932617,2227000
2016-09-02,DBC,12.165847778320312,3184400
2016-09-06,DBC,12.250391006469727,1680200
2016-09-07,DBC,12.360297203063965,1148500
2016-09-08,DBC,12.58011245727539,2248200
2016-09-09,DBC,12.385660171508789,2072800
2016-09-12,DBC,12.385660171508789,2022200
2016-09-13,DBC,12.225027084350586,1215500
2016-09-14,DBC,12.132030487060547,1505100
2016-09-15,DBC,12.191210746765137,1056200
2016-09-16,DBC,12.208118438720703,977800
2016-09-19,DBC,12.199665069580078,2235400
2016-09-20,DBC,12.241935729980469,1666700
2016-09-21,DBC,12.394115447998047,1457700
2016-09-22,DBC,12.461750030517578,950600
2016-09-23,DBC,12.318025588989258,1551600
2016-09-26,DBC,12.402569770812988,1043900
2016-09-27,DBC,12.284208297729492,1134000
2016-09-28,DBC,12.571657180786133,2413800
2016-09-29,DBC,12.647747039794922,1276900
2016-09-30,DBC,12.690017700195312,1924000
2016-10-03,DBC,12.799924850463867,4734500
2016-10-04,DBC,12.766107559204102,1430600
2016-10-05,DBC,12.842196464538574,4075500
2016-10-06,DBC,12.867559432983398,1460000
2016-10-07,DBC,12.833742141723633,1358400
2016-10-10,DBC,12.97746753692627,1547900
2016-10-11,DBC,12.901378631591797,2989800
2016-10-12,DBC,12.808379173278809,3655800
2016-10-13,DBC,12.892923355102539,1197700
2016-10-14,DBC,12.901378631591797,1170100
2016-10-17,DBC,12.91828727722168,2010500
2016-10-18,DBC,12.943650245666504,786500
2016-10-19,DBC,13.028192520141602,2279500
2016-10-20,DBC,12.909832954406738,1212700
2016-10-21,DBC,12.96055793762207,1034100
2016-10-24,DBC,12.969013214111328,1957200
2016-10-25,DBC,12.909832954406738,1372400
2016-10-26,DBC,12.825288772583008,1892200
2016-10-27,DBC,12.901378631591797,1052400
2016-10-28,DBC,12.81683349609375,1447700
2016-10-31,DBC,12.647747039794922,3300300
2016-11-01,DBC,12.706926345825195,4391000
2016-11-02,DBC,12.55474853515625,3264600
