date,Momentum,Balanced,Defensive
2023-01-31,0.02171226858894941,0.002809471185663498,-0.012550141148029003
2023-02-28,-0.0387992847808223,-0.017524381354950783,0.012948893392967752
2023-03-31,0.04177030381129058,-0.01708547403935471,0.006563663249270175
2023-04-30,0.05032541223760462,0.024216598059091633,0.01642873637321983
2023-05-31,-0.07979658348942265,0.026811116793696382,-0.003690547634057616
2023-06-30,-0.05059807780880431,0.02120831951254546,0.006853714439380856
2023-07-31,0.013752818142527842,-0.01263427180408344,0.01526062709141206
2023-08-31,-0.006230916655461199,0.012500517045868154,-0.001568237714964291
2023-09-30,0.007243947912307005,0.009267202655940391,0.012221954276033406
2023-10-31,-0.030386976740811103,0.012123280708412364,-0.007914666939199722
2023-11-30,0.047572908868827285,0.030400005782549318,-0.0025349692381712915
2023-12-31,0.04300063709430267,0.012260675365691105,-0.002871282091969923
2024-01-31,0.010971381390254723,0.025009579766013056,-0.017525113620602713
2024-02-29,0.058725854313561476,0.007892213945688962,0.012765504654140471
2024-03-31,0.02903792040134205,0.014095343163319557,-0.004449242123649029
2024-04-30,-0.030668160829745716,0.023676070323479133,0.004224894137098374
2024-05-31,0.024593785283712446,-0.03480036295595866,0.01265343986030636
2024-06-30,-0.03514971703730495,-0.0029507940580044377,0.012037561168538992
2024-07-31,0.047530263558827265,-0.007170434320198274,0.01597693196151015
2024-08-31,0.00575333400561862,-0.011888579750813573,0.002227261278830375
2024-09-30,-0.00031880635953672465,-0.0017039830343471441,-0.003619369616794767
2024-10-31,-0.02264182949817736,0.04785835671456309,0.002565072203684817
2024-11-30,0.06301436024033136,-0.01824327123941081,-0.026372019811244533
2024-12-31,0.0010461733069039034,0.033111793928561464,-0.02204802450361557
2025-01-31,-0.011274751997339825,-0.041120353605242535,-0.01980859302237924
2025-02-28,-0.007846009771970329,-0.0033767808396016966,-0.013950442896826669
2025-03-31,0.03195391334990069,0.010557085822940158,0.01119593608102186
2025-04-30,0.024444982896383523,0.022414225278059786,-0.012298622996481094
2025-05-31,0.026572967521819476,0.025914344234199943,-0.002806925972709014
2025-06-30,0.027386945135354723,0.028213722585597907,0.027386109360149177
2025-07-31,0.10437414203917075,-0.003764302022956252,-0.002412751479105666
2025-08-31,-0.010288675737307702,-0.00694585019460788,0.017275280232407556
2025-09-30,-0.01505092280821918,0.03002332467520031,-0.012805118240177785
2025-10-31,-0.028619772771154496,0.0006434789033147835,0.0003021239583826602
2025-11-30,0.0357190740158973,-0.029719217053461817,-0.01310039698839046
2025-12-31,0.05880375317244012,-0.025732041992097464,-0.0021025953662101244
